timestamp_sec,flight_state,cf1_X,cf1_Y,cf1_Z,cf1_VelX,cf1_VelY,cf1_VelZ,cf1_Roll,cf1_Pitch,cf1_Yaw,cf1_GyroX,cf1_GyroY,cf1_GyroZ,cf1_Motor1,cf1_Motor2,cf1_Motor3,cf1_Motor4,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_X,cf2_Y,cf2_Z,cf2_VelX,cf2_VelY,cf2_VelZ,cf2_Roll,cf2_Pitch,cf2_Yaw,cf2_GyroX,cf2_GyroY,cf2_GyroZ,cf2_Motor1,cf2_Motor2,cf2_Motor3,cf2_Motor4,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_X,cf3_Y,cf3_Z,cf3_VelX,cf3_VelY,cf3_VelZ,cf3_Roll,cf3_Pitch,cf3_Yaw,cf3_GyroX,cf3_GyroY,cf3_GyroZ,cf3_Motor1,cf3_Motor2,cf3_Motor3,cf3_Motor4,cf3_targ_x,cf3_targ_y,cf3_targ_z
6.29,GO_TO_START,0.13164423406124115,0.7597933411598206,0.6076992154121399,0.0,0.0,0.0,-0.03459426388144493,-0.058118365705013275,0.035978034138679504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6348503061827422,0.342395070000519,0.5,-0.4487374424934387,-0.21576417982578278,0.5880193710327148,0.0,0.0,0.0,-0.07333984225988388,-0.01107016485184431,-0.00830262340605259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404471587649238,1.163981554613871,0.5,0.5211430191993713,-0.6811016798019409,0.5751360654830933,0.0,0.0,0.0,-0.04289688542485237,0.10931787639856339,0.012453935109078884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5798723572352286,0.8369611482514087,0.5
6.31,GO_TO_START,0.13164423406124115,0.7597933411598206,0.6076992154121399,0.0,0.0,0.0,-0.03459426388144493,-0.058118365705013275,0.035978034138679504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345369647726181,0.3429204348801846,0.5,-0.4487374424934387,-0.21576417982578278,0.5880193710327148,0.0,0.0,0.0,-0.07333984225988388,-0.01107016485184431,-0.00830262340605259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399531170491099,1.1636836870803249,0.5,0.5211430191993713,-0.6811016798019409,0.5751360654830933,0.0,0.0,0.0,-0.04289688542485237,0.10931787639856339,0.012453935109078884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5798139087844489,0.8367828187610716,0.5
6.331,GO_TO_START,0.18275630474090576,0.7317482829093933,0.5766938328742981,0.0,0.0,0.0,0.08994509279727936,0.07057230174541473,0.03321049362421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342260343803516,0.3434429638892923,0.5,-0.4487374424934387,-0.21576417982578278,0.5880193710327148,0.0,0.0,0.0,-0.07333984225988388,-0.01107016485184431,-0.00830262340605259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394623236313234,1.163387136141473,0.5,0.5211430191993713,-0.6811016798019409,0.5751360654830933,0.0,0.0,0.0,-0.04289688542485237,0.10931787639856339,0.012453935109078884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5797558663028014,0.8366055411394088,0.5
6.351,GO_TO_START,0.18275630474090576,0.7317482829093933,0.5766938328742981,0.0,0.0,0.0,0.08994509279727936,0.07057230174541473,0.03321049362421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6339174945037753,0.3439626697268137,0.5,-0.4487374424934387,-0.21576417982578278,0.5880193710327148,0.0,0.0,0.0,-0.07333984225988388,-0.01107016485184431,-0.00830262340605259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8389036964992135,1.163048818289397,0.5,0.5211430191993713,-0.6811016798019409,0.5751360654830933,0.0,0.0,0.0,-0.04289688542485237,0.10931787639856339,0.012453935109078884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796982266986801,0.8364293093088369,0.5
6.371,GO_TO_START,0.18275630474090576,0.7317482829093933,0.5766938328742981,0.0,0.0,0.0,0.08994509279727936,0.07057230174541473,0.03321049362421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336113248297608,0.3444795650763681,0.5,-0.46240347623825073,-0.10093651711940765,0.6086193919181824,0.0,0.0,0.0,-0.04843197017908096,0.02629164233803749,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383487864007628,1.162711927949919,0.5,0.5211430191993713,-0.6811016798019409,0.5751360654830933,0.0,0.0,0.0,-0.04289688542485237,0.10931787639856339,0.012453935109078884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796409869067697,0.8362541172251408,0.5
6.39,GO_TO_START,0.18275630474090576,0.7317482829093933,0.5766938328742981,0.0,0.0,0.0,0.08994509279727936,0.07057230174541473,0.03321049362421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333075052324162,0.34499366260542974,0.5,-0.46240347623825073,-0.10093651711940765,0.6086193919181824,0.0,0.0,0.0,-0.04843197017908096,0.02629164233803749,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377975673074282,1.1623764641558394,0.5,0.48991894721984863,-0.6409528851509094,0.5664900541305542,0.0,0.0,0.0,-0.03044295310974121,0.13560952246189117,0.013837706297636032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796516876551854,0.8362868825371819,0.5
6.411,GO_TO_START,0.18275630474090576,0.7317482829093933,0.5766938328742981,0.0,0.0,0.0,0.08994509279727936,0.07057230174541473,0.03321049362421036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6329488318861125,0.3456020868138802,0.5,-0.46240347623825073,-0.10093651711940765,0.6086193919181824,0.0,0.0,0.0,-0.04843197017908096,0.02629164233803749,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372500133794858,1.1620424258485502,0.5,0.48991894721984863,-0.6409528851509094,0.5664900541305542,0.0,0.0,0.0,-0.03044295310974121,0.13560952246189117,0.013837706297636032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796623260644669,0.836319450648089,0.5
6.43,GO_TO_START,0.15465328097343445,0.7650435566902161,0.5719839930534363,0.0,0.0,0.0,0.0982477143406868,0.045664429664611816,0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632593020585131,0.34620727847299987,0.5,-0.46240347623825073,-0.10093651711940765,0.6086193919181824,0.0,0.0,0.0,-0.04843197017908096,0.02629164233803749,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367060989647324,1.1617098118798426,0.5,0.48991894721984863,-0.6409528851509094,0.5664900541305542,0.0,0.0,0.0,-0.03044295310974121,0.13560952246189117,0.013837706297636032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579672902486298,0.836351822748253,0.5
6.451,GO_TO_START,0.15465328097343445,0.7650435566902161,0.5719839930534363,0.0,0.0,0.0,0.0982477143406868,0.045664429664611816,0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322400461454547,0.34680925115607647,0.5,-0.46240347623825073,-0.10093651711940765,0.6086193919181824,0.0,0.0,0.0,-0.04843197017908096,0.02629164233803749,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362601668853276,1.161436523057532,0.5,0.48991894721984863,-0.6409528851509094,0.5664900541305542,0.0,0.0,0.0,-0.03044295310974121,0.13560952246189117,0.013837706297636032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796834172705196,0.8363840000208382,0.5
6.47,GO_TO_START,0.15465328097343445,0.7650435566902161,0.5719839930534363,0.0,0.0,0.0,0.0982477143406868,0.045664429664611816,0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6318898836204441,0.3474080184387514,0.5,-0.38571488857269287,-0.09314607828855515,0.5837076306343079,0.0,0.0,0.0,-0.004151311703026295,0.013837706297636032,-0.019372789189219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8358171466483919,1.1611644888485917,0.5,0.48991894721984863,-0.6409528851509094,0.5664900541305542,0.0,0.0,0.0,-0.03044295310974121,0.13560952246189117,0.013837706297636032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796938707651389,0.836415983641827,0.5
