timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z
0.87,TAKEOFF,0.3790450394153595,0.45358309149742126,0.0035550929605960846,0.25,0.25,0.5,1.743188500404358,0.34772980213165283,0.008262226358056068,1.6,0.1,0.5,1.6757729053497314,1.5481690168380737,0.02457519620656967,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.889,TAKEOFF,0.37451374530792236,0.4555562138557434,0.008076617494225502,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6757729053497314,1.5481690168380737,0.02457519620656967,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.91,TAKEOFF,0.37451374530792236,0.4555562138557434,0.008076617494225502,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6757729053497314,1.5481690168380737,0.02457519620656967,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.93,TAKEOFF,0.37451374530792236,0.4555562138557434,0.008076617494225502,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.95,TAKEOFF,0.37451374530792236,0.4555562138557434,0.008076617494225502,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.97,TAKEOFF,0.37451374530792236,0.4555562138557434,0.008076617494225502,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
0.99,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7380461692810059,0.339988112449646,0.01174628920853138,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.01,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7290291786193848,0.3354276418685913,0.025518039241433144,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.03,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7290291786193848,0.3354276418685913,0.025518039241433144,1.6,0.1,0.5,1.6721919775009155,1.5461677312850952,0.030034558847546577,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.05,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7290291786193848,0.3354276418685913,0.025518039241433144,1.6,0.1,0.5,1.6693603992462158,1.543871283531189,0.03490280359983444,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.071,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7290291786193848,0.3354276418685913,0.025518039241433144,1.6,0.1,0.5,1.6693603992462158,1.543871283531189,0.03490280359983444,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.09,TAKEOFF,0.36995431780815125,0.44840478897094727,0.010357855819165707,0.25,0.25,0.5,1.7290291786193848,0.3354276418685913,0.025518039241433144,1.6,0.1,0.5,1.6693603992462158,1.543871283531189,0.03490280359983444,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
