id,type,group,name
206,7,controller,accelz
207,7,controller,actuatorThrust
208,7,controller,roll
209,7,controller,pitch
210,7,controller,yaw
211,7,controller,rollRate
212,7,controller,pitchRate
213,7,controller,yawRate
214,7,ctrltarget,x
215,7,ctrltarget,y
216,7,ctrltarget,z
217,7,ctrltarget,vx
218,7,ctrltarget,vy
219,7,ctrltarget,vz
220,7,ctrltarget,ax
221,7,ctrltarget,ay
222,7,ctrltarget,az
223,7,ctrltarget,roll
224,7,ctrltarget,pitch
225,7,ctrltarget,yaw
226,7,ctrltarget,thrust
227,1,ctrltarget,mode_x
228,1,ctrltarget,mode_y
229,1,ctrltarget,mode_z
230,1,ctrltarget,mode_roll
231,1,ctrltarget,mode_pitch
232,1,ctrltarget,mode_yaw
233,1,ctrltarget,mode_quat
234,5,ctrltargetZ,x
235,5,ctrltargetZ,y
236,5,ctrltargetZ,z
237,5,ctrltargetZ,vx
238,5,ctrltargetZ,vy
239,5,ctrltargetZ,vz
240,5,ctrltargetZ,ax
241,5,ctrltargetZ,ay
242,5,ctrltargetZ,az
243,7,mag,x
244,7,mag,y
245,7,mag,z
246,7,stabilizer,roll
247,7,stabilizer,pitch
248,7,stabilizer,yaw
249,7,stabilizer,thrust
250,7,stabilizer,rtStab
251,3,stabilizer,intToOut
252,7,stateEstimate,x
253,7,stateEstimate,y
254,7,stateEstimate,z
255,7,stateEstimate,vx
256,7,stateEstimate,vy
257,7,stateEstimate,vz
258,7,stateEstimate,ax
259,7,stateEstimate,ay
260,7,stateEstimate,az
261,7,stateEstimate,roll
262,7,stateEstimate,pitch
263,7,stateEstimate,yaw
264,7,stateEstimate,qx
265,7,stateEstimate,qy
266,7,stateEstimate,qz
267,7,stateEstimate,qw
268,5,stateEstimateZ,x
269,5,stateEstimateZ,y
270,5,stateEstimateZ,z
271,5,stateEstimateZ,vx
272,5,stateEstimateZ,vy
273,5,stateEstimateZ,vz
274,5,stateEstimateZ,ax
275,5,stateEstimateZ,ay
276,5,stateEstimateZ,az
277,3,stateEstimateZ,quat
278,5,stateEstimateZ,rateRoll
279,5,stateEstimateZ,ratePitch
280,5,stateEstimateZ,rateYaw
281,2,supervisor,info
282,1,sys,canfly
283,1,sys,isFlying
284,1,sys,isTumbled
285,4,sys,testLogParam
286,7,tdoaEngine,stRx
287,7,tdoaEngine,stEst
288,7,tdoaEngine,stTime
289,7,tdoaEngine,stFound
290,7,tdoaEngine,stCc
291,7,tdoaEngine,stHit
292,7,tdoaEngine,stMiss
293,7,tdoaEngine,cc
294,2,tdoaEngine,tof
295,7,tdoaEngine,tdoa
296,7,kalman_pred,predNX
297,7,kalman_pred,predNY
298,7,kalman_pred,measNX
299,7,kalman_pred,measNY
300,1,lighthouse,validAngles
301,7,lighthouse,rawAngle0x
302,7,lighthouse,rawAngle0y
303,7,lighthouse,rawAngle1x
304,7,lighthouse,rawAngle1y
305,7,lighthouse,angle0x
306,7,lighthouse,angle0y
307,7,lighthouse,angle1x
308,7,lighthouse,angle1y
309,7,lighthouse,angle0x_1
310,7,lighthouse,angle0y_1
311,7,lighthouse,angle1x_1
312,7,lighthouse,angle1y_1
313,7,lighthouse,angle0x_2
314,7,lighthouse,angle0y_2
315,7,lighthouse,angle1x_2
316,7,lighthouse,angle1y_2
317,7,lighthouse,angle0x_3
318,7,lighthouse,angle0y_3
319,7,lighthouse,angle1x_3
320,7,lighthouse,angle1y_3
321,7,lighthouse,rawAngle0xlh2
322,7,lighthouse,rawAngle0ylh2
323,7,lighthouse,rawAngle1xlh2
324,7,lighthouse,rawAngle1ylh2
325,7,lighthouse,angle0x_0lh2
326,7,lighthouse,angle0y_0lh2
327,7,lighthouse,angle1x_0lh2
328,7,lighthouse,angle1y_0lh2
329,2,lighthouse,width0
330,2,lighthouse,width1
331,2,lighthouse,width2
332,2,lighthouse,width3
333,1,lighthouse,comSync
334,2,lighthouse,bsAvailable
335,2,lighthouse,bsReceive
336,2,lighthouse,bsActive
337,2,lighthouse,bsCalUd
338,2,lighthouse,bsCalCon
339,1,lighthouse,status
340,7,lighthouse,posRt
341,7,lighthouse,estBs0Rt
342,7,lighthouse,estBs1Rt
343,7,lighthouse,x
344,7,lighthouse,y
345,7,lighthouse,z
346,7,lighthouse,delta
347,2,lighthouse,bsGeoVal
348,2,lighthouse,bsCalVal
349,7,lighthouse,disProb
350,7,pid_attitude,roll_outP
351,7,pid_attitude,roll_outI
352,7,pid_attitude,roll_outD
353,7,pid_attitude,roll_outFF
354,7,pid_attitude,pitch_outP
355,7,pid_attitude,pitch_outI
356,7,pid_attitude,pitch_outD
357,7,pid_attitude,pitch_outFF
358,7,pid_attitude,yaw_outP
359,7,pid_attitude,yaw_outI
360,7,pid_attitude,yaw_outD
361,7,pid_attitude,yaw_outFF
362,7,pid_rate,roll_outP
363,7,pid_rate,roll_outI
364,7,pid_rate,roll_outD
365,7,pid_rate,roll_outFF
366,7,pid_rate,pitch_outP
367,7,pid_rate,pitch_outI
368,7,pid_rate,pitch_outD
369,7,pid_rate,pitch_outFF
370,7,pid_rate,yaw_outP
371,7,pid_rate,yaw_outI
372,7,pid_rate,yaw_outD
373,7,pid_rate,yaw_outFF
374,7,ctrlINDI,cmd_thrust
375,7,ctrlINDI,cmd_roll
376,7,ctrlINDI,cmd_pitch
377,7,ctrlINDI,cmd_yaw
378,7,ctrlINDI,r_roll
379,7,ctrlINDI,r_pitch
380,7,ctrlINDI,r_yaw
381,7,ctrlINDI,u_act_dyn_p
382,7,ctrlINDI,u_act_dyn_q
383,7,ctrlINDI,u_act_dyn_r
384,7,ctrlINDI,du_p
385,7,ctrlINDI,du_q
386,7,ctrlINDI,du_r
387,7,ctrlINDI,ang_accel_ref_p
388,7,ctrlINDI,ang_accel_ref_q
389,7,ctrlINDI,ang_accel_ref_r
390,7,ctrlINDI,rate_d[0]
391,7,ctrlINDI,rate_d[1]
392,7,ctrlINDI,rate_d[2]
393,7,ctrlINDI,uf_p
394,7,ctrlINDI,uf_q
395,7,ctrlINDI,uf_r
396,7,ctrlINDI,Omega_f_p
397,7,ctrlINDI,Omega_f_q
398,7,ctrlINDI,Omega_f_r
399,7,ctrlINDI,n_p
400,7,ctrlINDI,n_q
401,7,ctrlINDI,n_r
402,7,ctrlMel,cmd_thrust
403,7,ctrlMel,cmd_roll
404,7,ctrlMel,cmd_pitch
405,7,ctrlMel,cmd_yaw
406,7,ctrlMel,r_roll
407,7,ctrlMel,r_pitch
408,7,ctrlMel,r_yaw
409,7,ctrlMel,accelz
410,7,ctrlMel,zdx
411,7,ctrlMel,zdy
412,7,ctrlMel,zdz
413,7,ctrlMel,i_err_x
414,7,ctrlMel,i_err_y
415,7,ctrlMel,i_err_z
416,7,posCtrlIndi,posRef_x
417,7,posCtrlIndi,posRef_y
418,7,posCtrlIndi,posRef_z
419,7,posCtrlIndi,velS_x
420,7,posCtrlIndi,velS_y
421,7,posCtrlIndi,velS_z
422,7,posCtrlIndi,velRef_x
423,7,posCtrlIndi,velRef_y
424,7,posCtrlIndi,velRef_z
425,7,posCtrlIndi,angS_roll
426,7,posCtrlIndi,angS_pitch
427,7,posCtrlIndi,angS_yaw
428,7,posCtrlIndi,angF_roll
429,7,posCtrlIndi,angF_pitch
430,7,posCtrlIndi,angF_yaw
431,7,posCtrlIndi,accRef_x
432,7,posCtrlIndi,accRef_y
433,7,posCtrlIndi,accRef_z
434,7,posCtrlIndi,accS_x
435,7,posCtrlIndi,accS_y
436,7,posCtrlIndi,accS_z
437,7,posCtrlIndi,accF_x
438,7,posCtrlIndi,accF_y
439,7,posCtrlIndi,accF_z
440,7,posCtrlIndi,accFT_x
441,7,posCtrlIndi,accFT_y
442,7,posCtrlIndi,accFT_z
443,7,posCtrlIndi,accErr_x
444,7,posCtrlIndi,accErr_y
445,7,posCtrlIndi,accErr_z
446,7,posCtrlIndi,phi_tilde
447,7,posCtrlIndi,theta_tilde
448,7,posCtrlIndi,T_tilde
449,7,posCtrlIndi,T_inner
450,7,posCtrlIndi,T_inner_f
451,7,posCtrlIndi,T_incremented
452,7,posCtrlIndi,cmd_phi
453,7,posCtrlIndi,cmd_theta
454,7,posCtl,targetVX
455,7,posCtl,targetVY
456,7,posCtl,targetVZ
457,7,posCtl,targetX
458,7,posCtl,targetY
459,7,posCtl,targetZ
460,7,posCtl,bodyVX
461,7,posCtl,bodyVY
462,7,posCtl,bodyX
463,7,posCtl,bodyY
464,7,posCtl,Xp
465,7,posCtl,Xi
466,7,posCtl,Xd
467,7,posCtl,Xff
468,7,posCtl,Yp
469,7,posCtl,Yi
470,7,posCtl,Yd
471,7,posCtl,Yff
472,7,posCtl,Zp
473,7,posCtl,Zi
474,7,posCtl,Zd
475,7,posCtl,Zff
476,7,posCtl,VXp
477,7,posCtl,VXi
478,7,posCtl,VXd
479,7,posCtl,VXff
480,7,posCtl,VYp
481,7,posCtl,VYi
482,7,posCtl,VYd
483,7,posCtl,VYff
484,7,posCtl,VZp
485,7,posCtl,VZi
486,7,posCtl,VZd
487,7,posCtl,VZff
488,7,ctrlLee,KR_x
489,7,ctrlLee,KR_y
490,7,ctrlLee,KR_z
491,7,ctrlLee,Kw_x
492,7,ctrlLee,Kw_y
493,7,ctrlLee,Kw_z
494,7,ctrlLee,Kpos_Px
495,7,ctrlLee,Kpos_Py
496,7,ctrlLee,Kpos_Pz
497,7,ctrlLee,Kpos_Dx
498,7,ctrlLee,Kpos_Dy
499,7,ctrlLee,Kpos_Dz
500,7,ctrlLee,thrustSi
501,7,ctrlLee,torquex
502,7,ctrlLee,torquey
503,7,ctrlLee,torquez
504,7,ctrlLee,rpyx
505,7,ctrlLee,rpyy
506,7,ctrlLee,rpyz
507,7,ctrlLee,rpydx
508,7,ctrlLee,rpydy
509,7,ctrlLee,rpydz
510,7,ctrlLee,error_posx
511,7,ctrlLee,error_posy
512,7,ctrlLee,error_posz
513,7,ctrlLee,error_velx
514,7,ctrlLee,error_vely
515,7,ctrlLee,error_velz
516,7,ctrlLee,omegax
517,7,ctrlLee,omegay
518,7,ctrlLee,omegaz
519,7,ctrlLee,omegarx
520,7,ctrlLee,omegary
521,7,ctrlLee,omegarz
522,7,kalman,stateX
523,7,kalman,stateY
524,7,kalman,stateZ
525,7,kalman,statePX
526,7,kalman,statePY
527,7,kalman,statePZ
528,7,kalman,stateD0
529,7,kalman,stateD1
530,7,kalman,stateD2
531,7,kalman,varX
532,7,kalman,varY
533,7,kalman,varZ
534,7,kalman,varPX
535,7,kalman,varPY
536,7,kalman,varPZ
537,7,kalman,varD0
538,7,kalman,varD1
539,7,kalman,varD2
540,7,kalman,q0
541,7,kalman,q1
542,7,kalman,q2
543,7,kalman,q3
544,7,kalman,rtUpdate
545,7,kalman,rtPred
546,7,kalman,rtFinal
547,6,outlierf,lhWin
548,7,estimator,rtApnd
549,7,estimator,rtRej
550,7,posEstAlt,estimatedZ
551,7,posEstAlt,estVZ
552,7,posEstAlt,velocityZ
553,1,DTR_P2P,rx_state
554,1,DTR_P2P,tx_state
